room_id,name
66,Room 66 | Piero della Francesca (1415/20–1492)
65,Room 65 | Piety and Passion: Italian Painting 1260–1350
64,Room 64 | Gold: European Painting 1260–1550
63,Room 63 | La Serenissima: Painting in Venice 1450–1500
62,Room 62 | The Family Palace: Painting in Florence 1400–1500
61,Room 61 | Shaping the Renaissance Ideal: Raphael in Central Italy 1450–1500
60,Room 60 | Ambition and Innovation: Painting in Florence 1450–1500
59,Room 59 | Architecture and Illusion: Painting in Ferrara - Lombardy and the Veneto 1450–1500
58,Room 58 | Lyrical Narrative: Painting in Siena 1300–1500
57,Room 57 | Wonders of Design: Altarpieces in Florence 1400–1450
56,Room 56 | Looking at Nature: European Painting 1430–1540
55,Room 55 | Lines of Expression: German Painting 1400–1520
54,Room 54 | Northern European Painting
53,Room 53 | Divine Encounters: Netherlandish Painting 1480–1520
52,Room 52 | Creating Illusion: Netherlandish Painting 1420–1480
51a,Room 51a | The Burlington House Cartoon
51,Room 51 | The Wonder of Art: What Painting Can Do
46,Room 46 | Claude Monet (1840–1926)
45,Room 45 | New Energies: Painting around 1900
44,Room 44 | Post-Impressionism: French Painting 1850–1900
43,Room 43 | Van Gogh Gauguin and Post-Impressionism - French Painting 1880–1905
42,Room 42 | Pastels
41,Room 41 | Early Impressionism: French Painting 1860–1880
40,Room 40 | Turner Constable and Corot: British and French Landscape Painting 1800–1860
39,Room 39 | Capturing the Landscape: European Painting 1650–1850
38,Room 38 | The Academy: European Painting 1800–1850
37,Room 37 | The International 18th Century
36,Room 36 | Claude and Turner
35,Room 35 | Rococo to Revolution: French Painting 1700–1800
34,Room 34 | A Distinct Style: British Painting 1740–1800 (Blavatnik Family Foundation Room)
33,Room 33 | City of Pleasure: Painting in Venice 1700–1800
32,Room 32 | Baroque Splendour: Italian Painting 1600–1700 (The Julia and Hans Rausing Room)
31,Room 31 | Charles I and Henrietta Maria: A Royal Collection 1625–1649
30,Room 30 | Power and Piety: Spanish Painting 1600–1700
29,Room 29 | Making Paris a New Rome: French Painting 1600–1700
28,Room 28 | Flowers: Dutch and Flemish Painting 1600–1700
27,Room 27 | The Italianate Landscape: European Painting 1600–1700
26,Room 26 | Intimate Baroque: European Painting 1600–1700
25,Room 25 | Still Life: European Painting 1600–1900
24,Room 24 | International Ambitions: Dutch and Flemish History Painting 1600–1700
23,Room 23 | The Cradle of Dutch Painting: Haarlem 1600–1700
22,Room 22 | Rembrandt (1606–1669)
21,Room 21 | Anthony van Dyck (1599–1641)
20,Room 20 | A Different View of Flanders: Flemish Painting 1600–1650
19,Room 19 | Land and Water: Dutch Painting 1600–1700
18,Room 18 | Peter Paul Rubens (1577–1640)
17a,Room 17a | Deceiving the Eye: Dutch Perspectives around 1650
17,Room 17 | Modern Subjects: Dutch Painting 1600–1700
16,Room 16 | A New Art for a New Nation: Dutch Painting 1600–1700
15a,Room 15a | 'Fine Painters'
15s,Room 15 Stairs
15,Room 15 | Artists Inspiring Artists
14,Room 14 | Intellectual Pursuits: Painting at the Northern Italian Courts 1450–1550
13s,Room 13 Stairs
12,Room 12 | The Triumphs of Caesar
11,Room 11 | Portraits of Women
10,Room 10 | Devotion by Design: Italian Altarpieces around 1500
9,Room 9 | Radical Innovation and Rivalry: Painting in Venice 1500–1600
8,Room 8 | Titian (active about 1506–died 1576)
7,Room 7 | Paintings for the Home: Italian Painting 1510–1525
6,Room 6 | Design Colour and Invention: Central Italian Painting 1500–1575
5,Room 5 | City and Court: Northern Italian Painting 1500–1600
4,Room 4 | The Spectacle of Portraiture: European Painting 1500–1600
2,Room 2 | Power Patronage and Politics: Painting in Florence and Rome 1500–1600
1,Room 1 | Stubbs: Portrait of a Horse
main_ves,Main Vestibule
central_hall,Central Hall | Image and Identity: Full-Length Portraits 1550–1900
sun_room,Sunley Room | Wright of Derby: From the Shadows
portico,Portico Entrance
